company_id,type,rule_id,text,confidence_pct
BAJAJFINSV,con,2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,65
BAJAJFINSV,con,8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72
BAJAJHLDNG,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
BAJAJHLDNG,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,97
BAJAJHLDNG,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
BAJAJHLDNG,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BAJAJHLDNG,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
BAJAJHLDNG,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71
BAJAJHLDNG,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BAJAJHLDNG,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
BAJAJHLDNG,con,0,Insufficient historical data to identify specific risk factors at this time,60
BAJFINANCE,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,83
BAJFINANCE,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,69
BAJFINANCE,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,83
BAJFINANCE,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BAJFINANCE,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,89
BAJFINANCE,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BAJFINANCE,con,2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,100
BAJFINANCE,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
BANKBARODA,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,69
BANKBARODA,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,77
BANKBARODA,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
BANKBARODA,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BANKBARODA,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BANKBARODA,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BANKBARODA,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
BANKBARODA,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
BEL,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
BEL,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BEL,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BEL,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BEL,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
BEL,con,0,Insufficient historical data to identify specific risk factors at this time,60
BHARTIARTL,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,92
BHARTIARTL,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
BHARTIARTL,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
BHARTIARTL,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BHARTIARTL,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BHARTIARTL,con,1,Debt-to-equity ratio of 2.6 is elevated for a non-financial company and warrants monitoring,68
BHARTIARTL,con,11,Net debt exceeding 3 times FCF is a high leverage ratio and limits financial flexibility,72
BHEL,pro,0,Company is part of Nifty 100 index reflecting established market position,60
BHEL,con,5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80
BHEL,con,8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72
BHEL,con,10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
BOSCHLTD,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,91
BOSCHLTD,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
BOSCHLTD,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BOSCHLTD,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
BOSCHLTD,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
BOSCHLTD,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BOSCHLTD,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
BOSCHLTD,con,0,Insufficient historical data to identify specific risk factors at this time,60
BPCL,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,75
BPCL,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BPCL,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
BPCL,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,91
BPCL,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BPCL,con,0,Insufficient historical data to identify specific risk factors at this time,60
BRITANNIA,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
BRITANNIA,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
BRITANNIA,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
BRITANNIA,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
BRITANNIA,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
BRITANNIA,con,0,Insufficient historical data to identify specific risk factors at this time,60
CANBK,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
CANBK,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,81
CANBK,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
CANBK,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
CANBK,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
CANBK,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
CANBK,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CANBK,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
CANBK,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
CANBK,con,11,Net debt exceeding 3 times FCF is a high leverage ratio and limits financial flexibility,72
CHOLAFIN,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77
CHOLAFIN,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,68
CHOLAFIN,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
CHOLAFIN,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
CHOLAFIN,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79
CHOLAFIN,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CHOLAFIN,con,2,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,100
CHOLAFIN,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
CHOLAFIN,con,8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72
CIPLA,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,79
CIPLA,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
CIPLA,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
CIPLA,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,69
CIPLA,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
CIPLA,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
CIPLA,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77
CIPLA,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
CIPLA,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
CIPLA,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
COALINDIA,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
COALINDIA,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,91
COALINDIA,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
COALINDIA,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
COALINDIA,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
COALINDIA,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
COALINDIA,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,67
COALINDIA,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
COALINDIA,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
DABUR,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,91
DABUR,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
DABUR,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
DABUR,con,8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72
DIVISLAB,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
DIVISLAB,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,68
DIVISLAB,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
DIVISLAB,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
DIVISLAB,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
DIVISLAB,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
DIVISLAB,con,9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
DLF,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,73
DLF,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,73
DLF,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
DLF,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
DLF,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
DLF,con,5,Revenue contraction over 2 consecutive years indicates demand weakness or market share loss,80
DLF,con,10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
DMART,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
DMART,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75
DMART,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,69
DMART,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
DMART,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79
DMART,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
DMART,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
DMART,con,0,Insufficient historical data to identify specific risk factors at this time,60
DRREDDY,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,88
DRREDDY,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
DRREDDY,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,68
DRREDDY,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
DRREDDY,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
DRREDDY,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
DRREDDY,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,81
DRREDDY,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
DRREDDY,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
DRREDDY,con,0,Insufficient historical data to identify specific risk factors at this time,60
EICHERMOT,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,76
EICHERMOT,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
EICHERMOT,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,66
EICHERMOT,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
EICHERMOT,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
EICHERMOT,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
EICHERMOT,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
EICHERMOT,con,8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72
GAIL,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
GAIL,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
GAIL,con,8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72
GODREJCP,pro,0,Company is part of Nifty 100 index reflecting established market position,60
GODREJCP,con,4,Company reported a net loss in the most recent financial year,90
GODREJCP,con,10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,70
GRASIM,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,83
GRASIM,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,89
GRASIM,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
GRASIM,con,8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72
GRASIM,con,9,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,75
HAL,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
HAL,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,72
HAL,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,77
HAL,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HAL,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
HAL,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,87
HAL,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HAL,con,8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72
HAVELLS,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
HAVELLS,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HAVELLS,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
HAVELLS,con,0,Insufficient historical data to identify specific risk factors at this time,60
HCLTECH,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,70
HCLTECH,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,91
HCLTECH,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
HCLTECH,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HCLTECH,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
HCLTECH,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
HCLTECH,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
HDFCBANK,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77
HDFCBANK,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HDFCBANK,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
HDFCBANK,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
HDFCBANK,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,65
HDFCBANK,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HDFCBANK,con,6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,85
HDFCBANK,con,11,Net debt exceeding 3 times FCF is a high leverage ratio and limits financial flexibility,72
HDFCLIFE,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
HDFCLIFE,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77
HDFCLIFE,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HDFCLIFE,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HDFCLIFE,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
HDFCLIFE,con,0,Insufficient historical data to identify specific risk factors at this time,60
HEROMOTOCO,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,88
HEROMOTOCO,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
HEROMOTOCO,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HEROMOTOCO,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HEROMOTOCO,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
HEROMOTOCO,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
HEROMOTOCO,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
HEROMOTOCO,con,12,Revenue growing at below 5% over 5 years lags inflation and suggests limited business momentum,68
HINDALCO,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HINDALCO,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HINDALCO,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
HINDALCO,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HINDALCO,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
HINDALCO,con,11,Net debt exceeding 3 times FCF is a high leverage ratio and limits financial flexibility,72
HINDUNILVR,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,91
HINDUNILVR,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
HINDUNILVR,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
HINDUNILVR,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
HINDUNILVR,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
HINDUNILVR,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
HINDUNILVR,con,8,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,72
ICICIBANK,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,69
ICICIBANK,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ICICIBANK,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
ICICIBANK,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
ICICIBANK,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
ICICIBANK,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
ICICIBANK,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
ICICIBANK,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
ICICIBANK,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
ICICIBANK,con,6,Interest coverage ratio below 1.5x indicates the company is at risk of not meeting its debt obligations,85
ICICIBANK,con,11,Net debt exceeding 3 times FCF is a high leverage ratio and limits financial flexibility,72
ICICIGI,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,76
ICICIGI,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
ICICIGI,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ICICIGI,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ICICIGI,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
ICICIGI,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
ICICIGI,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
ICICIPRULI,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,67
ICICIPRULI,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ICICIPRULI,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
ICICIPRULI,pro,8,Consistent dividend yield above 2% backed by positive free cash flow,70
ICICIPRULI,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
ICICIPRULI,con,0,Insufficient historical data to identify specific risk factors at this time,60
INDIGO,pro,2,Strong free cash flow generation over 5 years signals healthy business fundamentals,73
INDIGO,pro,3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,90
INDIGO,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73
INDIGO,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
INDIGO,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
INDIGO,pro,7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85
INDIGO,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
INDIGO,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
INDIGO,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
INDIGO,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
INDUSINDBK,pro,4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,65
INDUSINDBK,pro,5,Operating profit margin above 25% indicates strong pricing power and cost discipline,78
INDUSINDBK,pro,6,Net profit compounding at above 20% over 5 years creates significant shareholder value,69
INDUSINDBK,pro,9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,65
INDUSINDBK,pro,10,Return on equity improving for 3 consecutive years shows strengthening business quality,75
INDUSINDBK,pro,11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70
INDUSINDBK,pro,12,Growing asset base funded by internal accruals reflects self-sustaining growth,72
INDUSINDBK,con,3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,75
INFY,pro,1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
